;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_10C_2H_2PP_3Co_11.data;;39;10000;1396;680;3601.02;3599.84;1.16691;5127;4429;0.8604
Inst_6P_10C_2H_2PP_3Co_12.data;;40;10000;1657;800;3601.02;3600.29;0.713222;3618;4869;0.8343
Inst_6P_10C_2H_2PP_3Co_14.data;;16;10000;1702;847;3601.01;3600.7;0.303946;2354;3872;0.8298
Inst_6P_10C_2H_2PP_3Co_16.data;;43;10000;1973;960;3601.02;3599.93;1.08396;6960;3449;0.8027
Inst_6P_10C_2H_2PP_3Co_18.data;;26;10000;1754;849;3601.02;3600.55;0.458912;3483;4536;0.8246
Inst_6P_10C_2H_2PP_3Co_1.data;;65;10000;1728;637;3601.02;3599.62;1.39074;6971;7363;0.8272
Inst_6P_10C_2H_2PP_3Co_4.data;OPT;46;1416;1416;697;2500.09;2499.61;0.476324;2436;4215;0
Inst_6P_10C_2H_2PP_3Co_5.data;;20;10000;1746;863;3610.23;3609.59;0.635833;3138;4119;0.8254
Inst_6P_10C_2H_2PP_3Co_7.data;;36;10000;1768;633;3601.02;3600.28;0.735618;4420;4015;0.8232
Inst_6P_10C_2H_2PP_3Co_8.data;;81;10000;1746;893;3601.02;3599.71;1.30191;5405;2833;0.8254
